T;P;V
0;0;0
0;4;0
0;9;0
0;11;0
0;16;0
0;18;0
0;23;0
0;28;0
0;29;0
0;31;0
0;32;0
0;44;0
0;58;0
0;71;0
0;73;0
0;81;0
0;86;0
0;111;0
0;113;0
0;119;0
0;123;0
0;135;0
0;141;0
0;152;0
0;153;0
0;170;0
0;179;0
0;180;0
0;188;0
0;189;0
0;228;0
0;262;0
0;265;0
0;289;0
0;294;0
0;305;0
0;312;0
0;315;0
0;359;0
0;362;0
0;363;0
0;365;0
0;376;0
0;386;0
0;391;0
0;392;0
0;423;0
0;424;0
0;426;0
0;432;0
0;435;0
0;451;0
0;458;0
0;462;0
0;471;0
0;475;0
0;487;0
0;490;0
0;514;0
0;528;0
0;530;0
0;534;0
0;536;0
0;541;0
0;542;0
0;576;0
0;577;0
0;595;0
0;597;0
0;599;0
0;603;0
0;609;0
0;610;0
0;613;0
0;620;0
0;630;0
0;640;0
0;654;0
0;659;0
0;664;0
0;669;0
0;674;0
0;676;0
0;692;0
0;697;0
0;716;0
0;717;0
0;721;0
0;740;0
0;746;0
0;778;0
0;781;0
0;782;0
0;788;0
0;816;0
0;836;0
0;838;0
0;840;0
0;841;0
0;853;0
0;859;0
0;900;0
0;906;0
0;950;0
0;955;0
0;959;0
0;961;0
0;968;0
0;995;0
1;1;1
1;4;0
1;10;1
1;11;0
1;16;0
1;19;1
1;24;1
1;28;0
1;29;0
1;31;0
1;33;1
1;44;0
1;59;1
1;72;1
1;73;0
1;82;1
1;87;1
1;112;1
1;114;1
1;119;0
1;123;0
1;136;1
1;142;1
1;152;0
1;154;1
1;170;0
1;179;0
1;180;0
1;188;0
1;190;1
1;229;1
1;262;0
1;266;1
1;290;1
1;294;0
1;305;0
1;313;1
1;315;0
1;359;0
1;362;0
1;364;1
1;366;1
1;377;1
1;386;0
1;391;0
1;393;1
1;423;0
1;424;0
1;427;1
1;433;1
1;436;1
1;452;1
1;459;1
1;462;0
1;472;1
1;475;0
1;487;0
1;491;1
1;515;1
1;529;1
1;530;0
1;534;0
1;537;1
1;541;0
1;543;1
1;576;0
1;578;1
1;596;1
1;597;0
1;599;0
1;604;1
1;609;0
1;610;0
1;614;1
1;621;1
1;631;1
1;641;1
1;654;0
1;659;0
1;665;1
1;670;1
1;675;1
1;676;0
1;693;1
1;698;1
1;716;0
1;718;1
1;722;1
1;740;0
1;747;1
1;779;1
1;781;0
1;782;0
1;789;1
1;817;1
1;837;1
1;838;0
1;840;0
1;841;0
1;854;1
1;860;1
1;901;1
1;907;1
1;951;1
1;956;1
1;960;1
1;962;1
1;969;1
1;996;1
2;3;2
2;4;0
2;10;0
2;12;1
2;17;1
2;21;2
2;26;2
2;28;0
2;30;1
2;31;0
2;35;2
2;45;1
2;61;2
2;72;0
2;74;1
2;84;2
2;88;1
2;113;1
2;116;2
2;120;1
2;124;1
2;138;2
2;144;2
2;153;1
2;155;1
