T;P;V
0;1;0
0;17;0
0;27;0
0;56;0
0;57;0
0;73;0
0;76;0
0;84;0
0;85;0
0;94;0
0;111;0
0;117;0
0;118;0
0;136;0
0;137;0
0;138;0
0;146;0
0;150;0
0;153;0
0;163;0
0;164;0
0;170;0
0;173;0
0;181;0
0;184;0
0;190;0
0;203;0
0;214;0
0;227;0
0;230;0
0;231;0
0;240;0
0;245;0
0;251;0
0;255;0
0;256;0
0;273;0
0;277;0
0;278;0
0;286;0
0;288;0
0;292;0
0;303;0
0;313;0
0;315;0
0;320;0
0;323;0
0;325;0
0;326;0
0;331;0
0;338;0
0;345;0
0;351;0
0;352;0
0;353;0
0;369;0
0;370;0
0;377;0
0;380;0
0;391;0
1;2;1
1;18;1
1;27;0
1;56;0
1;57;0
1;74;1
1;77;1
1;84;0
1;86;1
1;94;0
1;112;1
1;117;0
1;119;1
1;136;0
1;137;0
1;139;1
1;146;0
1;150;0
1;154;1
1;163;0
1;165;1
1;171;1
1;174;1
1;182;1
1;184;0
1;190;0
1;204;1
1;215;1
1;228;1
1;230;0
1;232;1
1;241;1
1;245;0
1;252;1
1;255;0
1;257;1
1;274;1
1;277;0
1;279;1
1;287;1
1;289;1
1;293;1
1;304;1
1;314;1
1;315;0
1;321;1
1;324;1
1;325;0
1;327;1
1;332;1
1;338;0
1;346;1
1;351;0
1;352;0
1;354;1
1;369;0
1;371;1
1;377;0
1;381;1
1;391;0
2;4;2
2;20;2
2;28;1
2;56;0
2;58;1
2;76;2
2;79;2
2;85;1
2;88;2
2;95;1
2;114;2
2;118;1
2;121;2
2;136;0
2;138;1
2;141;2
2;147;1
2;150;0
2;156;2
2;164;1
2;167;2
2;173;2
2;176;2
2;182;0
2;185;1
2;191;1
2;206;2
2;217;2
2;229;1
2;231;1
2;234;2
2;243;2
2;246;1
2;253;1
2;256;1
2;259;2
2;275;1
2;278;1
2;281;2
2;287;0
2;291;2
2;294;1
2;305;1
2;314;0
2;316;1
2;323;2
2;324;0
2;326;1
2;328;1
2;333;1
2;339;1
2;348;2
2;351;0
2;353;1
2;356;2
2;370;1
2;373;2
2;378;1
2;382;1
2;392;1
3;7;3
3;23;3
3;30;2
3;56;0
3;60;2
3;78;2
3;82;3
3;87;2
3;90;2
3;96;1
3;117;3
3;120;2
3;124;3
3;137;1
3;140;2
3;144;3
3;148;1
3;151;1
3;159;3
3;166;2
3;170;3
3;175;2
3;179;3
3;183;1
3;186;1
3;193;2
3;209;3
3;219;2
3;230;1
3;233;2
3;237;3
3;245;2
3;248;2
3;255;2
3;258;2
3;262;3
3;277;2
3;279;1
3;284;3
3;288;1
3;293;2
3;295;1
3;306;1
3;314;0
3;318;2
3;323;0
3;325;1
3;327;1
3;330;2
3;335;2
3;341;2
3;350;2
3;352;1
3;354;1
3;359;3
3;371;1
3;376;3
3;379;1
3;384;2
3;394;2
4;11;4
4;27;4
4;32;2
4;56;0
4;63;3
4;81;3
4;86;4
4;89;2
4;93;3
4;98;2
4;119;2
4;123;3
4;127;3
4;139;2
4;143;3
4;147;3
4;150;2
4;153;2
4;163;4
4;169;3
4;174;4
4;178;3
4;182;3
4;185;2
4;188;2
4;195;2
4;213;4
4;222;3
4;232;2
4;235;2
4;241;4
4;247;2
4;251;3
4;256;1
4;260;2
4;266;4
4;277;0
4;281;2
4;287;3
4;290;2
4;294;1
4;297;2
4;308;2
4;315;1
4;321;3
4;324;1
4;326;1
4;328;1
4;333;3
4;338;3
4;344;3
4;350;0
4;353;1
4;356;2
4;362;3
4;373;2
4;378;2
4;381;2
4;387;3
4;397;3
5;16;5
5;31;4
5;35;3
5;57;1
5;67;4
5;85;4
5;88;2
5;92;3
5;97;4
5;101;3
5;121;2
5;126;3
5;130;3
5;141;2
5;146;3
5;149;2
5;151;1
5;156;3
5;168;5
5;173;4
5;177;3
5;181;3
5;184;2
5;187;2
5;191;3
5;198;3
5;218;5
5;226;4
5;234;2
5;238;3
5;246;5
5;250;3
5;255;4
5;258;2
5;263;3
5;271;5
5;278;1
5;284;3
5;288;1
5;293;3
5;295;1
5;300;3
5;311;3
5;317;2
5;322;1
5;325;1
5;327;1
5;330;2
5;337;4
5;342;4
5;348;4
5;351;1
5;355;2
5;359;3
5;366;4
5;375;2
5;379;1
5;384;3
5;391;4
5;0;3
6;21;5
6;33;2
6;39;4
6;59;2
6;72;5
6;87;2
6;91;3
6;96;4
6;100;3
6;105;4
6;124;3
6;129;3
6;134;4
6;144;3
6;148;2
6;149;0
6;153;2
6;160;4
6;172;4
6;176;3
6;179;2
6;183;2
6;186;2
6;190;3
6;195;4
6;202;4
6;222;4
6;231;5
6;236;2
6;241;3
6;249;3
6;254;4
6;257;2
6;261;3
6;267;4
6;276;5
6;280;2
6;287;3
6;290;2
6;294;1
6;297;2
6;304;4
6;315;4
6;320;3
6;324;2
6;325;0
6;329;2
6;332;2
6;340;3
6;347;5
6;350;2
6;353;2
6;358;3
6;363;4
6;371;5
6;378;3
6;381;2
6;387;3
6;395;4
6;4;4
7;26;5
7;36;3
7;44;5
7;62;3
7;77;5
7;89;2
7;94;3
7;98;2
7;104;4
7;110;5
7;128;4
7;133;4
7;139;5
7;147;3
7;148;0
7;150;1
7;156;3
7;165;5
7;175;3
7;178;2
7;181;2
7;185;2
7;189;3
7;194;4
7;200;5
7;207;5
7;227;5
7;235;4
7;239;3
7;244;3
7;253;4
7;256;2
7;260;3
7;265;4
7;272;5
7;279;3
7;283;3
7;289;2
7;293;3
7;296;2
7;300;3
7;308;4
7;319;4
7;323;3
7;324;0
7;326;1
7;331;2
7;334;2
7;344;4
7;348;1
7;351;1
7;356;3
7;361;3
7;367;4
7;375;4
7;380;2
7;383;2
7;391;4
7;0;5
7;9;5
8;31;5
8;39;3
8;48;4
8;66;4
8;82;5
8;92;3
8;97;3
8;101;3
8;109;5
8;115;5
8;132;4
8;138;5
8;144;5
8;147;0
8;149;1
8;152;2
8;160;4
8;170;5
8;177;2
8;179;1
8;184;3
8;187;2
8;193;4
8;199;5
8;205;5
8;212;5
