T;P;V
0;8;0
0;17;0
0;56;0
0;87;0
0;91;0
0;99;0
0;126;0
0;155;0
0;172;0
0;182;0
0;195;0
0;233;0
0;365;0
0;385;0
0;415;0
0;425;0
0;442;0
0;463;0
0;467;0
0;488;0
0;504;0
0;505;0
0;506;0
0;513;0
0;541;0
0;543;0
0;566;0
0;568;0
0;588;0
0;592;0
0;601;0
0;615;0
0;620;0
0;643;0
0;658;0
0;670;0
0;673;0
0;680;0
0;684;0
0;704;0
0;746;0
0;764;0
0;779;0
0;795;0
0;820;0
0;822;0
0;872;0
0;874;0
0;893;0
0;934;0
0;937;0
0;948;0
0;975;0
0;978;0
1;8;0
1;17;0
1;57;1
1;88;1
1;92;1
1;100;1
1;127;1
1;155;0
1;173;1
1;182;0
1;196;1
1;234;1
1;365;0
1;385;0
1;415;0
1;426;1
1;443;1
1;463;0
1;468;1
1;488;0
1;504;0
1;505;0
1;506;0
1;514;1
1;542;1
1;543;0
1;566;0
1;568;0
1;589;1
1;593;1
1;601;0
1;615;0
1;621;1
1;644;1
1;659;1
1;671;1
1;673;0
1;681;1
1;685;1
1;704;0
1;747;1
1;765;1
1;780;1
1;796;1
1;821;1
1;822;0
1;873;1
1;875;1
1;894;1
1;935;1
1;938;1
1;948;0
1;976;1
1;979;1
2;9;1
2;18;1
2;59;2
2;90;2
2;94;2
2;101;1
2;129;2
2;155;0
2;174;1
2;183;1
2;198;2
2;235;1
2;365;0
2;385;0
2;416;1
2;428;2
2;445;2
2;464;1
2;470;2
2;488;0
2;504;0
2;505;0
2;507;1
2;516;2
2;542;0
2;544;1
2;566;0
2;569;1
2;590;1
2;595;2
2;602;1
2;615;0
2;622;1
2;645;1
2;661;2
2;671;0
2;674;1
2;683;2
2;687;2
2;705;1
2;748;1
2;767;2
2;782;2
2;798;2
2;821;0
2;823;1
2;874;1
2;877;2
2;896;2
2;937;2
2;940;2
2;948;0
2;978;2
2;981;2
3;10;1
3;20;2
3;62;3
3;93;3
3;96;2
3;102;1
3;132;3
3;156;1
3;175;1
3;184;1
3;200;2
3;237;2
3;366;1
3;385;0
3;418;2
3;430;2
3;448;3
3;466;2
3;473;3
3;489;1
3;504;0
3;505;0
3;509;2
3;518;2
3;543;1
3;545;1
3;567;1
3;571;2
3;591;1
3;597;2
3;604;2
3;616;1
3;623;1
3;646;1
3;664;3
3;671;0
3;675;1
3;685;2
3;690;3
3;707;2
3;750;2
3;770;3
3;785;3
3;800;2
3;821;0
3;824;1
3;876;2
3;879;2
3;898;2
3;939;2
3;942;2
3;949;1
3;980;2
3;984;3
4;11;1
4;23;3
4;65;3
4;95;2
4;99;3
4;104;2
4;135;3
4;158;2
4;177;2
4;186;2
4;202;2
4;240;3
4;368;2
4;385;0
4;420;2
4;432;2
4;452;4
4;469;3
4;476;3
4;491;2
4;504;0
4;506;1
4;511;2
4;521;3
4;544;1
4;547;2
4;569;2
4;573;2
4;592;1
4;600;3
4;607;3
4;618;2
4;625;2
4;648;2
4;668;4
4;672;1
4;677;2
4;688;3
4;694;4
4;709;2
4;753;3
4;774;4
4;789;4
4;803;3
4;822;1
4;826;2
4;877;1
4;881;2
4;900;2
4;941;2
4;944;2
4;950;1
4;982;2
4;987;3
5;12;1
5;27;4
5;69;4
5;98;3
5;102;3
5;106;2
5;139;4
5;161;3
5;180;3
5;189;3
5;204;2
5;243;3
5;370;2
5;386;1
5;423;3
5;435;3
5;457;5
5;473;4
5;479;3
5;493;2
5;505;1
5;508;2
5;514;3
5;524;3
5;545;1
5;549;2
5;572;3
5;576;3
5;594;2
5;604;4
5;611;4
5;621;3
5;628;3
5;651;3
5;671;3
5;674;2
5;679;2
5;691;3
5;699;5
5;711;2
5;757;4
5;778;4
5;793;4
5;806;3
5;823;1
5;829;3
5;879;2
5;883;2
5;903;3
5;943;2
5;946;2
5;952;2
5;985;3
5;990;3
6;14;2
6;32;5
6;74;5
6;101;3
6;105;3
6;109;3
6;144;5
6;164;3
6;184;4
6;193;4
6;206;2
6;246;3
6;372;2
6;388;2
6;427;4
6;439;4
6;461;4
6;477;4
6;483;4
6;495;2
6;507;2
6;510;2
6;518;4
6;528;4
6;547;2
6;552;3
6;575;3
6;580;4
6;597;3
6;608;4
6;616;5
6;625;4
6;632;4
6;655;4
6;673;2
6;676;2
6;682;3
6;695;4
6;704;5
6;714;3
6;761;4
6;783;5
6;798;5
6;809;3
6;824;1
6;833;4
6;882;3
6;885;2
6;907;4
6;945;2
