T;P;V
0;1;0
0;41;0
0;52;0
0;69;0
0;102;0
0;106;0
0;113;0
0;137;0
0;161;0
0;186;0
0;222;0
0;243;0
0;245;0
0;276;0
0;298;0
0;306;0
0;307;0
0;311;0
0;319;0
0;364;0
1;2;1
1;42;1
1;53;1
1;70;1
1;103;1
1;107;1
1;114;1
1;138;1
1;161;0
1;187;1
1;223;1
1;244;1
1;245;0
1;277;1
1;299;1
1;306;0
1;308;1
1;312;1
1;320;1
1;365;1
2;4;2
2;44;2
2;55;2
2;72;2
2;105;2
2;109;2
2;116;2
2;140;2
2;162;1
2;189;2
2;225;2
2;244;0
2;246;1
2;279;2
2;301;2
2;307;1
2;310;2
2;313;1
2;322;2
2;367;2
3;6;2
3;47;3
3;58;3
3;75;3
3;108;3
3;112;3
3;119;3
3;143;3
3;164;2
3;192;3
3;228;3
3;245;1
3;248;2
3;282;3
3;304;3
3;309;2
3;312;2
3;315;2
3;325;3
3;370;3
4;9;3
4;51;4
4;62;4
4;79;4
4;111;3
4;116;4
4;123;4
4;147;4
4;167;3
4;196;4
4;232;4
4;247;2
4;251;3
4;286;4
4;307;3
4;311;2
4;314;2
4;318;3
4;329;4
4;374;4
5;13;4
5;56;5
5;67;5
5;84;5
5;115;4
5;121;5
5;128;5
5;152;5
5;171;4
5;201;5
5;237;5
5;250;3
5;255;4
5;291;5
5;310;3
5;313;2
5;317;3
5;322;4
5;334;5
5;379;5
6;18;5
6;61;5
6;72;5
6;89;5
6;120;5
6;126;5
6;133;5
6;157;5
6;176;5
6;206;5
6;242;5
6;254;4
6;260;5
6;296;5
6;312;2
6;316;3
6;321;4
6;327;5
6;339;5
6;384;5
7;23;5
7;66;5
7;77;5
7;94;5
7;125;5
7;131;5
7;138;5
7;162;5
7;181;5
7;211;5
7;247;5
7;259;5
7;265;5
7;301;5
7;315;3
7;320;4
7;326;5
7;332;5
7;344;5
7;389;5
8;28;5
8;71;5
8;82;5
8;99;5
8;130;5
8;136;5
8;143;5
8;167;5
8;186;5
8;216;5
8;252;5
8;264;5
8;270;5
8;306;5
8;319;4
8;325;5
8;331;5
8;337;5
8;349;5
8;394;5
9;33;5
9;76;5
9;87;5
9;104;5
9;135;5
9;141;5
9;148;5
9;172;5
9;191;5
9;221;5
9;257;5
9;269;5
9;275;5
9;311;5
9;324;5
9;330;5
9;336;5
9;342;5
9;354;5
9;399;5
10;38;5
10;81;5
10;92;5
10;108;4
10;140;5
10;146;5
10;153;5
10;177;5
10;196;5
10;226;5
10;262;5
10;274;5
10;280;5
10;316;5
10;329;5
10;335;5
10;341;5
10;347;5
10;359;5
10;4;5
11;43;5
11;86;5
11;97;5
11;113;5
11;145;5
11;151;5
11;158;5
11;182;5
11;201;5
11;231;5
11;267;5
11;279;5
11;285;5
11;321;5
11;334;5
11;340;5
11;346;5
11;352;5
11;363;4
11;9;5
12;48;5
12;91;5
12;102;5
12;118;5
12;150;5
12;156;5
12;163;5
12;187;5
12;206;5
12;236;5
12;272;5
12;284;5
12;290;5
12;326;5
12;339;5
12;345;5
12;351;5
12;357;5
12;367;4
12;14;5
13;53;5
13;96;5
13;107;5
13;123;5
13;155;5
13;161;5
13;168;5
13;192;5
13;211;5
13;241;5
13;276;4
13;289;5
13;295;5
13;331;5
13;344;5
13;350;5
13;356;5
13;362;5
13;372;5
13;19;5
14;58;5
14;101;5
14;112;5
14;128;5
14;160;5
14;166;5
14;173;5
14;197;5
14;216;5
14;246;5
14;281;5
14;294;5
14;300;5
14;336;5
14;349;5
14;355;5
14;361;5
14;367;5
14;377;5
14;24;5
15;63;5
15;106;5
15;117;5
15;133;5
15;165;5
15;171;5
15;178;5
15;202;5
15;221;5
15;251;5
15;286;5
15;299;5
15;305;5
15;341;5
15;354;5
15;360;5
15;366;5
15;372;5
15;382;5
15;29;5
16;68;5
16;111;5
16;122;5
16;138;5
16;170;5
16;176;5
16;183;5
16;207;5
16;226;5
16;256;5
16;291;5
16;304;5
16;309;4
16;346;5
16;359;5
16;364;4
16;371;5
16;377;5
16;387;5
16;34;5
17;73;5
17;116;5
17;127;5
17;143;5
17;175;5
17;181;5
17;188;5
17;212;5
17;231;5
17;261;5
17;296;5
17;308;4
17;314;5
17;351;5
17;363;4
17;369;5
17;376;5
17;382;5
17;392;5
